"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
432,05/12/15 09:27:18 PM,14.4049,67.564,,
433,05/12/15 09:32:18 PM,14.4080,67.050,,
434,05/12/15 09:37:18 PM,14.4070,66.537,,
435,05/12/15 09:42:18 PM,14.4091,66.193,,
436,05/12/15 09:47:18 PM,14.4123,65.680,,
437,05/12/15 09:52:18 PM,14.4127,65.167,,
438,05/12/15 09:57:18 PM,14.4120,64.825,,
439,05/12/15 10:02:18 PM,14.4141,64.481,,
440,05/12/15 10:07:18 PM,14.4137,64.310,,
441,05/12/15 10:12:18 PM,14.4162,64.139,,
442,05/12/15 10:17:18 PM,14.4169,63.797,,
443,05/12/15 10:22:18 PM,14.4152,63.626,,
444,05/12/15 10:27:18 PM,14.4176,63.455,,
445,05/12/15 10:32:18 PM,14.4169,63.111,,
446,05/12/15 10:37:18 PM,14.4194,62.940,,
447,05/12/15 10:42:18 PM,14.4233,62.769,,
448,05/12/15 10:47:18 PM,14.4215,62.598,,
449,05/12/15 10:52:18 PM,14.4198,62.425,,
450,05/12/15 10:57:18 PM,14.4194,62.254,,
451,05/12/15 11:02:18 PM,14.4194,62.254,,
452,05/12/15 11:07:18 PM,14.4205,62.083,,
453,05/12/15 11:12:18 PM,14.4215,61.912,,
454,05/12/15 11:17:18 PM,14.4226,61.741,,
455,05/12/15 11:22:18 PM,14.4240,61.741,,
456,05/12/15 11:27:18 PM,14.4223,61.569,,
457,05/12/15 11:32:18 PM,14.4233,61.398,,
458,05/12/15 11:37:18 PM,14.4230,61.227,,
459,05/12/15 11:42:18 PM,14.4230,61.227,,
460,05/12/15 11:47:18 PM,14.4212,61.054,,
461,05/12/15 11:52:18 PM,14.4223,60.883,,
462,05/12/15 11:57:18 PM,14.4218,60.712,,
463,05/13/15 12:02:18 AM,14.4218,60.712,,
464,05/13/15 12:07:18 AM,14.4230,60.539,,
465,05/13/15 12:12:18 AM,14.4215,60.539,,
466,05/13/15 12:17:18 AM,14.4212,60.368,,
467,05/13/15 12:22:18 AM,14.4226,60.368,,
468,05/13/15 12:27:18 AM,14.4198,60.368,,
469,05/13/15 12:32:18 AM,14.4226,60.368,,
470,05/13/15 12:37:18 AM,14.4223,60.195,,
